Location,Item,Quantity,LCL,Date,created_at
oak-2,32-fry-pan,0,0,10/1/23,10/1/23 15:27
henry,33-mitten,0,0,10/1/23,10/1/23 15:27
oak-1,33-mitten,5,0,10/1/23,10/1/23 15:27
oak-2,33-mitten,0,0,10/1/23,10/1/23 15:27
henry,34-ladle-spatula-set,0,0,10/1/23,10/1/23 15:27
oak-1,34-ladle-spatula-set,3,0,10/1/23,10/1/23 15:27
oak-2,34-ladle-spatula-set,0,0,10/1/23,10/1/23 15:27
henry,35-cutting-board,0,0,10/1/23,10/1/23 15:27
oak-1,35-cutting-board,3,0,10/1/23,10/1/23 15:27
oak-2,35-cutting-board,0,0,10/1/23,10/1/23 15:27
henry,36-knife-set,0,0,10/1/23,10/1/23 15:27
oak-1,36-knife-set,1,0,10/1/23,10/1/23 15:27
oak-2,36-knife-set,0,0,10/1/23,10/1/23 15:27
henry,37-hair-dryer,0,0,10/1/23,10/1/23 15:27
oak-1,37-hair-dryer,1,0,10/1/23,10/1/23 15:27
oak-2,37-hair-dryer,0,0,10/1/23,10/1/23 15:27
henry,38-table-lamp-big,0,0,10/1/23,10/1/23 15:27
oak-1,38-table-lamp-big,1,0,10/1/23,10/1/23 15:27
oak-2,38-table-lamp-big,0,0,10/1/23,10/1/23 15:27
henry,39-table-lamp-small,0,0,10/1/23,10/1/23 15:27
oak-1,39-table-lamp-small,1,0,10/1/23,10/1/23 15:27
oak-2,39-table-lamp-small,0,0,10/1/23,10/1/23 15:27
henry,40-plunger,1,0,10/1/23,10/1/23 15:27
oak-1,40-plunger,0,0,10/1/23,10/1/23 15:27
oak-2,40-plunger,1,0,10/1/23,10/1/23 15:27
oak-1,60-disposal,1,0,10/1/23,10/1/23 15:27
oak-1,61-garage-door-opener,1,0,10/1/23,10/1/23 15:27
hancock,70-comforter-queen,2,0,10/1/23,10/1/23 15:27
hancock,71-sheets-queen,2,0,10/1/23,10/1/23 15:27
hancock,72-sheets-twin,0,0,10/1/23,10/1/23 15:27
hancock,73-toilet-paper,40,0,10/1/23,10/1/23 15:27
hancock,74-paper-towel,12,0,10/1/23,10/1/23 15:27
